Nazov,Pocet slov po spracovani,,min,max,<40000,<10000,<22500
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00862.txt,45941,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00863.txt,981,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00864.txt,10291,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00865.txt,79356,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00866.txt,1836,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00867.txt,285,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00868.txt,613,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00869.txt,9214,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00870.txt,21597,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00871.txt,24535,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00872.txt,629,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00873.txt,4991,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00874.txt,44116,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00875.txt,2554,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00876.txt,22328,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00877.txt,19022,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00878.txt,1304,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00879.txt,53183,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00880.txt,2826,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00881.txt,676,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00882.txt,1070,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00883.txt,18284,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00884.txt,19856,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00885.txt,56240,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00886.txt,38117,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00887.txt,26389,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00888.txt,2470,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00889.txt,26170,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00890.txt,3483,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00891.txt,79741,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00892.txt,2531,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00893.txt,13625,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00894.txt,42227,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00895.txt,47387,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00896.txt,42550,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00897.txt,3424,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00898.txt,54778,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00899.txt,5393,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00900.txt,3126,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00901.txt,48934,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00902.txt,12293,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00903.txt,45661,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00904.txt,23011,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00905.txt,30628,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00906.txt,1340,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00907.txt,2102,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00908.txt,1963,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00909.txt,24768,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00910.txt,22704,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00911.txt,70660,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00912.txt,2438,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00913.txt,2287,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00914.txt,26419,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00915.txt,23271,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00916.txt,49019,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00917.txt,2094,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00918.txt,19132,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00919.txt,2060,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00920.txt,994,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00921.txt,12746,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00922.txt,6498,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00923.txt,29742,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00924.txt,56276,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00925.txt,1512,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00926.txt,26891,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00927.txt,3078,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00928.txt,39534,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00929.txt,34727,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00930.txt,33690,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00931.txt,8259,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00932.txt,10228,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00933.txt,35146,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00934.txt,39905,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00935.txt,2344,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00936.txt,20742,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00937.txt,2992,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00938.txt,1335,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00939.txt,72108,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00940.txt,121269,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00941.txt,3543,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00942.txt,49611,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00943.txt,9940,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00944.txt,7837,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00945.txt,1552,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00946.txt,998,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00947.txt,1805,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00948.txt,14525,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00949.txt,16205,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00950.txt,4155,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00951.txt,3174,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00952.txt,40567,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00953.txt,22197,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00954.txt,44704,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00955.txt,4675,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00956.txt,44528,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00957.txt,1978,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00958.txt,9849,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00959.txt,27705,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00960.txt,12061,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00961.txt,23314,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00962.txt,361,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00963.txt,1269,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00964.txt,334,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00965.txt,48668,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00966.txt,326,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00967.txt,2420,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00968.txt,23178,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00969.txt,2218,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00970.txt,40595,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00971.txt,13746,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00972.txt,5723,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00973.txt,22252,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00974.txt,1797,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00975.txt,47208,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00976.txt,46663,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00977.txt,48079,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00978.txt,56814,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00979.txt,39397,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00980.txt,844,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00981.txt,24764,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00982.txt,13713,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00983.txt,24852,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00984.txt,45018,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00985.txt,72832,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00986.txt,25241,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00987.txt,1580,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00988.txt,38214,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00989.txt,2181,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00990.txt,680,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00991.txt,959,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00992.txt,987,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00993.txt,55147,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00994.txt,538,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00995.txt,1739,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00996.txt,323,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00997.txt,56534,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00998.txt,1221,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document00999.txt,7624,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part2\suspicious-document01000.txt,56093,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09501.txt,57930,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09502.txt,15875,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09503.txt,15186,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09504.txt,6757,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09505.txt,16437,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09506.txt,39410,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09507.txt,1112,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09508.txt,484,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09509.txt,4588,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09510.txt,42472,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09511.txt,20592,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09512.txt,49046,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09513.txt,24193,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09514.txt,39904,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09515.txt,4549,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09516.txt,327,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09517.txt,51449,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09518.txt,987,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09519.txt,14654,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09520.txt,30320,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09521.txt,3010,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09522.txt,33981,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09523.txt,322,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09524.txt,48777,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09525.txt,526,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09526.txt,36316,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09527.txt,922,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09528.txt,25287,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09529.txt,59956,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09530.txt,37795,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09531.txt,35656,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09532.txt,12250,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09533.txt,680,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09534.txt,18951,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09535.txt,990,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09536.txt,41941,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09537.txt,5794,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09538.txt,37865,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09539.txt,1228,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09540.txt,98942,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09541.txt,2906,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09542.txt,16027,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09543.txt,23120,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09544.txt,305,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09545.txt,40840,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09546.txt,49502,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09547.txt,21921,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09548.txt,30993,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09549.txt,717,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09550.txt,35107,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09551.txt,26877,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09552.txt,50455,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09553.txt,20260,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09554.txt,10346,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09555.txt,12341,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09556.txt,1850,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09557.txt,2798,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09558.txt,143441,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09559.txt,15483,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09560.txt,48573,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09561.txt,244,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09562.txt,17895,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09563.txt,672,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09564.txt,2066,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09565.txt,84319,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09566.txt,22003,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09567.txt,9256,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09568.txt,11009,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09569.txt,36598,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09570.txt,3349,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09571.txt,52032,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09572.txt,18090,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09573.txt,5438,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09574.txt,1347,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09575.txt,2490,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09576.txt,1306,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09577.txt,7953,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09578.txt,1422,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09579.txt,8024,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09580.txt,23225,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09581.txt,2658,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09582.txt,273,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09583.txt,1559,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09584.txt,44721,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09585.txt,1980,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09586.txt,42490,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09587.txt,22862,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09588.txt,77189,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09589.txt,1184,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09590.txt,29108,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09591.txt,6950,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09592.txt,6572,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09593.txt,2386,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09594.txt,669,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09595.txt,15339,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09596.txt,6678,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09597.txt,47200,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09598.txt,21712,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09599.txt,13163,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09600.txt,24379,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09601.txt,26558,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09602.txt,21135,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09603.txt,8545,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09604.txt,2937,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09605.txt,2821,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09606.txt,2049,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09607.txt,29493,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09608.txt,14536,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09609.txt,34158,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09610.txt,76371,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09611.txt,579,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09612.txt,4442,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09613.txt,3092,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09614.txt,8054,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09615.txt,15156,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09616.txt,69484,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09617.txt,38722,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09618.txt,3669,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09619.txt,2288,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09620.txt,19324,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09621.txt,30029,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09622.txt,1646,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09623.txt,32760,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09624.txt,3745,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09625.txt,3179,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09626.txt,2492,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09627.txt,6625,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09628.txt,56200,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09629.txt,13368,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09630.txt,33574,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09631.txt,21143,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09632.txt,9588,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09633.txt,88399,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09634.txt,3414,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09635.txt,3625,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09636.txt,1404,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09637.txt,1575,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09638.txt,3346,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09639.txt,3770,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09640.txt,1032,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09641.txt,1276,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09642.txt,39051,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09643.txt,26281,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09644.txt,3715,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09645.txt,31279,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09646.txt,60323,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09647.txt,666,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09648.txt,28440,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09649.txt,3160,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09650.txt,8417,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09651.txt,11310,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part20\suspicious-document09652.txt,576,,,,,,
